,0
1866,769
1867,977
1868,1276
1869,261
1870,949
1871,448
1872,164
1873,955
1874,631
1875,1259
1876,343
1877,445
1878,1029
1879,391
1880,206
1881,14
1882,364
1883,18
1884,1241
1885,546
1886,68
1887,710
1888,610
1889,1098
1890,173
1891,1301
1892,488
1893,734
1894,881
1895,661
1896,50
1897,1111
1898,920
1899,748
1900,456
1901,620
1902,1174
1903,684
1904,1243
1905,734
1906,507
1907,442
1908,1187
1909,802
1910,1161
1911,792
1912,126
1913,268
1914,610
1915,1300
1916,266
1917,940
1918,654
1919,1064
1920,254
1921,1110
1922,189
1923,149
1924,870
1925,328
1926,257
1927,377
1928,323
1929,186
1930,1066
1931,1270
1932,1262
1933,654
1934,429
1935,562
1936,228
1937,386
1938,400
1939,266
1940,476
1941,795
1942,1282
1943,818
1944,960
1945,707
1946,201
1947,499
1948,984
1949,183
1950,1335
1951,1237
1952,423
1953,901
1954,591
1955,1122
1956,976
1957,803
1958,982
1959,572
1960,1004
1961,765
1962,1253
1963,701
1964,62
1965,533
1966,216
1967,1136
1968,371
1969,1159
1970,1165
1971,50
1972,1188
1973,278
1974,543
1975,408
1976,1197
1977,523
1978,331
1979,462
1980,1076
1981,970
1982,1238
1983,466
1984,447
1985,947
1986,509
1987,1211
1988,963
1989,197
1990,1059
1991,274
1992,621
1993,307
1994,108
1995,509
1996,216
1997,1039
1998,1
1999,123
2000,1034
2001,478
2002,363
2003,44
2004,183
2005,540
2006,1200
2007,778
2008,255
2009,85
2010,574
2011,1242
2012,78
2013,429
2014,554
2015,390
2016,1016
2017,404
2018,1071
2019,728
2020,400
2021,428
2022,455
2023,1078
2024,456
2025,604
2026,237
2027,136
2028,685
2029,270
2030,1173
2031,780
2032,98
2033,1276
2034,1244
2035,659
2036,312
2037,607
2038,747
2039,702
2040,386
2041,1231
2042,1050
2043,1108
2044,144
2045,801
2046,547
2047,133
2048,1319
2049,919
2050,1081
2051,146
2052,489
2053,707
2054,1314
2055,436
2056,822
2057,50
2058,125
2059,1076
2060,284
2061,786
2062,425
2063,577
2064,356
2065,857
2066,597
2067,1270
2068,1315
2069,411
2070,682
2071,322
2072,348
2073,516
2074,1043
2075,690
2076,1011
2077,194
2078,515
2079,311
2080,218
2081,1265
2082,700
2083,74
2084,939
2085,493
2086,74
2087,1038
2088,462
2089,1178
2090,979
2091,281
2092,765
2093,412
2094,579
2095,565
2096,1094
2097,1263
2098,900
2099,280
2100,1149
2101,672
2102,69
2103,376
2104,287
2105,894
2106,537
2107,1001
2108,142
2109,620
2110,225
2111,1018
2112,229
2113,1181
2114,177
2115,389
2116,777
2117,761
2118,52
2119,1336
2120,203
2121,20
2122,224
2123,588
2124,819
2125,352
2126,733
2127,993
2128,392
2129,86
2130,1054
2131,321
2132,914
2133,912
2134,1158
2135,109
2136,390
2137,1170
2138,1115
2139,734
2140,481
2141,557
2142,1167
2143,777
2144,235
2145,1301
2146,1032
2147,201
2148,873
2149,70
2150,285
2151,506
2152,470
2153,1281
2154,422
2155,472
2156,241
2157,659
2158,399
2159,102
2160,118
2161,1037
2162,682
2163,901
2164,972
2165,243
2166,314
2167,839
2168,1052
2169,1198
2170,631
2171,990
2172,711
2173,894
2174,1135
2175,730
2176,221
2177,98
2178,1130
2179,340
2180,697
2181,710
2182,996
2183,95
2184,816
2185,354
2186,229
2187,553
2188,1282
2189,669
2190,111
2191,564
2192,1069
2193,363
2194,900
2195,417
2196,428
2197,562
2198,1146
2199,938
2200,671
2201,492
2202,1290
2203,994
2204,434
2205,1093
2206,787
2207,507
2208,1171
2209,42
2210,577
2211,1096
2212,801
2213,380
2214,584
2215,1149
2216,459
2217,79
2218,1132
2219,589
2220,784
2221,693
2222,400
2223,465
2224,798
2225,804
2226,22
2227,763
2228,1159
2229,1174
2230,1
2231,694
2232,1183
2233,891
2234,1182
2235,811
2236,417
2237,4
2238,875
2239,1134
2240,1265
2241,139
2242,450
2243,378
2244,741
2245,999
2246,193
2247,886
2248,866
2249,204
2250,341
2251,848
2252,547
2253,909
2254,813
2255,684
2256,671
2257,786
2258,556
2259,701
2260,580
2261,964
2262,994
2263,483
2264,805
2265,66
2266,413
2267,195
2268,243
2269,539
2270,581
2271,788
2272,769
2273,151
2274,616
2275,281
2276,259
2277,40
2278,979
2279,907
2280,433
2281,530
2282,1309
2283,820
2284,483
2285,696
2286,1057
2287,877
2288,905
2289,1239
2290,514
2291,1267
2292,492
2293,739
2294,633
2295,1331
2296,370
2297,783
2298,1278
2299,1050
2300,1120
2301,1029
2302,951
2303,576
2304,847
2305,457
2306,1121
2307,696
2308,1100
2309,1064
2310,1213
2311,895
2312,503
2313,1201
2314,729
2315,787
2316,274
2317,110
2318,1282
2319,513
2320,115
2321,1281
2322,655
2323,643
2324,744
2325,1103
2326,921
2327,45
2328,932
2329,293
2330,927
2331,641
2332,212
2333,403
2334,1163
2335,778
2336,543
2337,568
2338,245
2339,407
2340,1227
2341,687
2342,36
2343,1333
2344,125
2345,78
2346,116
2347,555
2348,1256
2349,654
2350,601
2351,637
2352,830
2353,1263
2354,965
2355,667
2356,1204
2357,933
2358,380
2359,1285
2360,1112
2361,476
2362,45
2363,954
2364,1202
2365,462
2366,749
2367,1070
2368,312
2369,25
2370,1203
2371,140
2372,1139
2373,693
2374,263
2375,337
2376,1279
2377,391
2378,323
2379,267
2380,506
2381,875
2382,736
2383,67
2384,300
2385,845
2386,600
2387,571
2388,1306
2389,12
2390,560
2391,723
2392,941
2393,1003
2394,1026
2395,1294
2396,1023
2397,196
2398,1100
2399,160
2400,673
2401,93
2402,57
2403,96
2404,685
2405,786
2406,985
2407,582
2408,648
2409,656
2410,920
2411,95
2412,172
2413,927
2414,563
2415,777
2416,612
2417,1146
2418,1006
2419,1154
2420,93
2421,697
2422,824
2423,572
2424,824
2425,396
2426,1157
2427,399
2428,1279
2429,696
2430,675
2431,892
2432,320
2433,815
2434,757
2435,499
2436,893
2437,693
2438,1043
2439,1277
2440,197
2441,865
2442,53
2443,265
2444,88
2445,841
2446,1035
2447,815
2448,1087
2449,631
2450,1051
2451,305
2452,326
2453,160
2454,1270
2455,1121
2456,531
2457,962
2458,1326
2459,110
2460,688
2461,833
2462,1137
2463,783
2464,886
2465,489
2466,876
2467,839
2468,573
2469,858
2470,1036
2471,791
2472,142
2473,832
2474,790
2475,46
2476,641
2477,935
2478,976
2479,863
2480,714
2481,390
2482,911
2483,154
2484,1284
2485,656
2486,611
2487,357
2488,429
2489,922
2490,1003
2491,1325
2492,1137
2493,23
2494,879
2495,826
2496,465
2497,618
2498,586
2499,823
2500,1059
2501,386
2502,1102
2503,560
2504,927
2505,713
2506,422
2507,629
2508,656
2509,929
2510,1178
2511,744
2512,817
2513,1129
2514,804
2515,755
2516,973
2517,1264
2518,1296
2519,1070
2520,1181
2521,538
2522,191
2523,508
2524,252
2525,403
2526,379
2527,704
2528,410
2529,1259
2530,859
2531,1081
2532,831
2533,624
2534,231
2535,1022
2536,1009
2537,1322
2538,827
2539,1083
2540,1159
2541,131
2542,909
2543,809
2544,956
2545,914
2546,1203
2547,788
2548,93
2549,115
2550,484
2551,1332
2552,258
2553,538
2554,69
2555,903
2556,267
2557,964
2558,1006
2559,542
2560,1064
2561,551
2562,1073
2563,1199
2564,884
2565,108
2566,566
2567,1208
2568,1050
2569,8
2570,54
2571,749
2572,857
2573,262
2574,556
2575,92
2576,1197
2577,929
2578,657
2579,1041
2580,861
2581,460
2582,55
2583,394
2584,819
2585,350
2586,26
2587,1234
2588,148
2589,1327
2590,574
2591,839
2592,1075
2593,770
2594,571
2595,1008
2596,32
2597,1297
2598,508
2599,1239
2600,747
2601,902
2602,948
2603,614
2604,710
2605,950
2606,192
2607,1102
2608,815
2609,212
2610,1313
2611,179
2612,346
2613,239
2614,1173
2615,1256
2616,665
2617,1090
2618,411
2619,1027
2620,206
2621,398
2622,278
2623,1113
2624,839
2625,930
2626,670
2627,313
2628,637
2629,1143
2630,527
2631,1186
2632,707
2633,1219
2634,384
2635,1002
2636,1058
2637,721
2638,1231
2639,340
2640,710
2641,550
2642,613
2643,754
2644,506
2645,1316
2646,1319
2647,787
2648,583
2649,149
2650,922
2651,1153
2652,292
2653,465
2654,235
2655,838
2656,413
2657,1105
2658,616
2659,39
2660,1301
2661,631
2662,1078
2663,102
2664,1269
2665,537
2666,452
2667,1069
2668,650
2669,560
2670,583
2671,751
2672,615
2673,1071
2674,166
2675,674
2676,748
2677,1007
2678,267
2679,1038
2680,992
2681,1062
2682,358
2683,1039
2684,1155
2685,189
2686,503
2687,256
2688,202
2689,435
2690,46
2691,136
2692,228
2693,1151
2694,796
2695,980
2696,1262
2697,90
2698,1112
2699,819
2700,244
2701,134
2702,1205
2703,1167
2704,443
2705,1058
2706,1109
2707,663
2708,49
2709,851
2710,702
2711,228
2712,553
2713,612
2714,578
2715,478
2716,1133
2717,1038
2718,444
2719,663
2720,974
2721,191
2722,112
2723,387
2724,1093
2725,529
2726,3
2727,359
2728,977
2729,813
2730,29
2731,2
2732,1250
2733,553
2734,1289
2735,636
2736,1012
2737,260
2738,535
2739,1174
2740,742
2741,62
2742,1122
2743,287
2744,727
2745,1208
2746,881
2747,1106
2748,298
2749,681
2750,386
2751,586
2752,403
2753,442
2754,1215
2755,123
2756,871
2757,1286
2758,1063
2759,664
2760,11
2761,306
2762,285
2763,218
2764,90
2765,662
2766,340
2767,582
2768,342
2769,481
2770,121
2771,522
2772,110
2773,185
2774,191
2775,351
2776,603
2777,686
2778,873
2779,804
2780,71
2781,1082
2782,53
2783,1231
2784,760
2785,854
2786,311
2787,133
2788,493
2789,1132
2790,320
2791,844
2792,900
2793,406
2794,332
2795,565
2796,604
2797,433
2798,243
2799,1213
2800,1256
2801,571
2802,618
2803,562
2804,743
2805,275
2806,979
2807,564
2808,395
2809,926
2810,491
2811,420
2812,722
2813,1020
2814,262
2815,1177
2816,967
2817,542
2818,1123
2819,928
2820,331
2821,2
2822,904
2823,1029
2824,952
2825,421
2826,1003
2827,403
2828,610
2829,296
2830,330
2831,1233
2832,1247
2833,1326
2834,599
2835,349
2836,754
2837,1194
2838,895
2839,1312
2840,674
2841,1091
2842,833
2843,333
2844,670
2845,1337
2846,370
2847,1170
2848,574
2849,252
